date,day.of.week,car.count,weather,cloud.indicator
2010-07-18,Sunday,79,-1,cloudy
2010-07-19,Monday,160,1.7,clear
2010-07-20,Tuesday,146,1,clear
2010-07-21,Wednesday,85,-0.2,cloudy
2010-07-22,Thursday,123,0.6,clear
2010-07-23,Friday,146,0.7,clear
2010-07-24,Saturday,121,-0.6,clear
2010-07-25,Sunday,158,-0.8,clear
2010-07-26,Monday,82,0.3,cloudy
2010-07-27,Tuesday,135,-0.4,clear
2010-07-28,Wednesday,143,1.2,cloudy
2010-07-29,Thursday,130,-2.3,clear
2010-07-30,Friday,1,0.8,cloudy
2010-07-31,Saturday,123,0.3,cloudy
2010-08-01,Sunday,42,-0.3,cloudy
2010-08-02,Monday,172,0.6,clear
2010-08-03,Tuesday,157,1.3,clear
2010-08-04,Wednesday,117,-1.1,clear
2010-08-05,Thursday,56,0.3,cloudy
2010-08-06,Friday,16,-2.3,cloudy
2010-08-07,Saturday,137,-1,clear
2010-08-08,Sunday,125,-0.1,clear
2010-08-09,Monday,2,-1.8,cloudy
2010-08-10,Tuesday,93,-0.2,cloudy
2010-08-11,Wednesday,118,-0.5,cloudy
2010-08-12,Thursday,136,-0.4,clear
2010-08-13,Friday,155,1.2,clear
2010-08-14,Saturday,122,-1.6,clear
2010-08-15,Sunday,147,-0.9,clear
2010-08-16,Monday,129,0,clear
2010-08-17,Tuesday,153,0.2,clear
2010-08-18,Wednesday,95,-1,cloudy
2010-08-19,Thursday,124,3.8,clear
2010-08-20,Friday,27,0.4,cloudy
2010-08-21,Saturday,140,0.9,clear
2010-08-22,Sunday,150,-0.3,clear
2010-08-23,Monday,31,1.1,cloudy
2010-08-24,Tuesday,132,-1,clear
2010-08-25,Wednesday,136,0.4,clear
2010-08-26,Thursday,112,0.6,cloudy
2010-08-27,Friday,136,0,clear
2010-08-28,Saturday,57,-0.2,cloudy
2010-08-29,Sunday,30,-0.8,cloudy
2010-08-30,Monday,140,2.6,clear
2010-08-31,Tuesday,9,0.9,cloudy
2010-09-01,Wednesday,146,0.4,clear
2010-09-02,Thursday,130,2.6,clear
2010-09-03,Friday,10,-0.6,cloudy
2010-09-04,Saturday,145,-2,clear
2010-09-05,Sunday,146,0.6,clear
2010-09-06,Monday,148,1,clear
2010-09-07,Tuesday,148,-0.2,clear
2010-09-08,Wednesday,18,-1,cloudy
2010-09-09,Thursday,3,-0.8,cloudy
2010-09-10,Friday,135,0,clear
2010-09-11,Saturday,126,-1,clear
2010-09-12,Sunday,146,1.9,clear
2010-09-13,Monday,164,1.5,clear
2010-09-14,Tuesday,127,-0.1,clear
2010-09-15,Wednesday,146,-1,clear
2010-09-16,Thursday,150,-0.4,clear
2010-09-17,Friday,143,-1.4,clear
2010-09-18,Saturday,51,0.6,cloudy
2010-09-19,Sunday,118,-2.7,cloudy
2010-09-20,Monday,118,1.4,cloudy
2010-09-21,Tuesday,151,0.8,clear
2010-09-22,Wednesday,50,0.1,cloudy
2010-09-23,Thursday,191,0.1,clear
2010-09-24,Friday,138,0.1,clear
2010-09-25,Saturday,146,-0.6,clear
2010-09-26,Sunday,155,0,clear
2010-09-27,Monday,138,0.9,clear
2010-09-28,Tuesday,13,0.4,cloudy
2010-09-29,Wednesday,5,0.1,cloudy
2010-09-30,Thursday,136,-0.5,clear
2010-10-01,Friday,107,-0.6,cloudy
2010-10-02,Saturday,119,0.8,cloudy
2010-10-03,Sunday,20,0.6,cloudy
2010-10-04,Monday,6,2,cloudy
2010-10-05,Tuesday,89,1.5,cloudy
2010-10-06,Wednesday,114,-1,cloudy
2010-10-07,Thursday,122,-0.4,clear
2010-10-08,Friday,137,0.8,clear
2010-10-09,Saturday,123,-0.6,cloudy
2010-10-10,Sunday,125,-0.1,clear
2010-10-11,Monday,120,1.2,clear
2010-10-12,Tuesday,126,0.2,clear
2010-10-13,Wednesday,154,0.2,cloudy
2010-10-14,Thursday,108,-0.3,cloudy
2010-10-15,Friday,144,-0.5,clear
2010-10-16,Saturday,143,0.6,clear
2010-10-17,Sunday,150,0.8,clear
2010-10-18,Monday,149,-0.3,clear
2010-10-19,Tuesday,192,-0.2,clear
2010-10-20,Wednesday,140,-0.6,clear
2010-10-21,Thursday,130,-1.2,clear
2010-10-22,Friday,141,0.6,clear
2010-10-23,Saturday,129,0.7,clear
2010-10-24,Sunday,136,0.5,clear
2010-10-25,Monday,130,-1,clear
2010-10-26,Tuesday,136,0.4,clear
2010-10-27,Wednesday,126,1.2,clear
2010-10-28,Thursday,115,-0.9,clear
2010-10-29,Friday,169,-0.4,clear
2010-10-30,Saturday,86,0.9,cloudy
2010-10-31,Sunday,150,1.1,clear
2010-11-01,Monday,44,-0.1,cloudy
2010-11-02,Tuesday,88,-0.4,cloudy
2010-11-03,Wednesday,135,0.3,clear
2010-11-04,Thursday,143,0.6,clear
2010-11-05,Friday,56,2.6,cloudy
2010-11-06,Saturday,149,-2.4,clear
2010-11-07,Sunday,141,0.5,clear
2010-11-08,Monday,158,-1.4,clear
2010-11-09,Tuesday,148,3.2,clear
2010-11-10,Wednesday,121,1.4,clear
2010-11-11,Thursday,137,0.7,clear
2010-11-12,Friday,21,0.5,cloudy
2010-11-13,Saturday,141,0.4,clear
2010-11-14,Sunday,11,-0.4,cloudy
2010-11-15,Monday,158,0.1,clear
2010-11-16,Tuesday,158,-0.1,clear
2010-11-17,Wednesday,147,-2.1,clear
2010-11-18,Thursday,90,-0.7,cloudy
2010-11-19,Friday,141,1.4,clear
2010-11-20,Saturday,140,-0.3,clear
2010-11-21,Sunday,39,0.3,cloudy
2010-11-22,Monday,159,0.8,clear
2010-11-23,Tuesday,136,0,clear
2010-11-24,Wednesday,136,-0.6,clear
2010-11-25,Thursday,144,0.2,clear
2010-11-26,Friday,169,-0.3,clear
2010-11-27,Saturday,171,-0.2,clear
2010-11-28,Sunday,174,-1.3,clear
2010-11-29,Monday,164,0.8,clear
2010-11-30,Tuesday,139,0.5,clear
2010-12-01,Wednesday,117,-1,cloudy
2010-12-02,Thursday,169,-1,clear
2010-12-03,Friday,154,1.2,clear
2010-12-04,Saturday,149,-1.5,clear
2010-12-05,Sunday,138,1.1,clear
2010-12-06,Monday,147,0.5,clear
2010-12-07,Tuesday,87,-0.1,cloudy
2010-12-08,Wednesday,73,1.5,cloudy
2010-12-09,Thursday,88,-0.8,cloudy
2010-12-10,Friday,154,-1,clear
2010-12-11,Saturday,142,1.2,clear
2010-12-12,Sunday,14,0.8,cloudy
2010-12-13,Monday,103,1.3,cloudy
2010-12-14,Tuesday,168,-0.1,clear
2010-12-15,Wednesday,164,-0.1,clear
2010-12-16,Thursday,139,0.3,clear
2010-12-17,Friday,144,-0.1,clear
2010-12-18,Saturday,160,-1.6,clear
2010-12-19,Sunday,59,-0.2,cloudy
2010-12-20,Monday,152,1.1,clear
2010-12-21,Tuesday,157,-0.1,clear
2010-12-22,Wednesday,35,-1,cloudy
2010-12-23,Thursday,45,-1.2,cloudy
2010-12-24,Friday,94,-0.6,cloudy
2010-12-25,Saturday,171,0.7,clear
2010-12-26,Sunday,71,-1.2,cloudy
2010-12-27,Monday,79,-0.6,cloudy
2010-12-28,Tuesday,152,0.5,cloudy
2010-12-29,Wednesday,63,-1.1,cloudy
2010-12-30,Thursday,145,-1.1,clear
2010-12-31,Friday,134,1,clear
2011-01-01,Saturday,152,1.8,clear
2011-01-02,Sunday,131,-0.6,clear
2011-01-03,Monday,102,0,cloudy
2011-01-04,Tuesday,141,-0.7,cloudy
2011-01-05,Wednesday,138,0.7,clear
2011-01-06,Thursday,44,-0.8,cloudy
2011-01-07,Friday,146,-0.2,clear
2011-01-08,Saturday,172,0.4,clear
2011-01-09,Sunday,138,-0.9,clear
2011-01-10,Monday,184,-0.5,clear
2011-01-11,Tuesday,133,-1.3,clear
2011-01-12,Wednesday,143,0.4,cloudy
2011-01-13,Thursday,41,0.7,cloudy
2011-01-14,Friday,151,-0.7,clear
2011-01-15,Saturday,148,0.9,clear
2011-01-16,Sunday,200,0,clear
2011-01-17,Monday,168,0,clear
2011-01-18,Tuesday,151,0.5,clear
2011-01-19,Wednesday,136,-0.4,cloudy
2011-01-20,Thursday,137,0.6,clear
2011-01-21,Friday,23,1.7,cloudy
2011-01-22,Saturday,153,0.4,clear
2011-01-23,Sunday,135,-0.4,clear
2011-01-24,Monday,62,-2,cloudy
2011-01-25,Tuesday,134,-0.2,clear
2011-01-26,Wednesday,148,-0.3,clear
2011-01-27,Thursday,99,1.8,cloudy
2011-01-28,Friday,6,0.4,cloudy
2011-01-29,Saturday,59,-0.2,cloudy
2011-01-30,Sunday,23,0.6,cloudy
2011-01-31,Monday,63,-1.3,cloudy
2011-02-01,Tuesday,85,-0.1,cloudy
2011-02-02,Wednesday,144,1.1,clear
2011-02-03,Thursday,149,0,clear
2011-02-04,Friday,151,-1.3,clear
2011-02-05,Saturday,141,1.5,clear
2011-02-06,Sunday,161,1.2,clear
2011-02-07,Monday,142,-1.4,cloudy
2011-02-08,Tuesday,16,0.1,cloudy
2011-02-09,Wednesday,32,0,cloudy
2011-02-10,Thursday,73,-2.9,cloudy
2011-02-11,Friday,172,-1.3,clear
2011-02-12,Saturday,136,-0.8,cloudy
2011-02-13,Sunday,81,-0.2,cloudy
2011-02-14,Monday,162,0.8,cloudy
2011-02-15,Tuesday,158,-0.3,clear
2011-02-16,Wednesday,141,0.1,cloudy
2011-02-17,Thursday,151,2.1,clear
2011-02-18,Friday,108,-1.1,cloudy
2011-02-19,Saturday,160,-1,clear
2011-02-20,Sunday,132,0.2,cloudy
2011-02-21,Monday,157,0.3,clear
2011-02-22,Tuesday,95,0.1,cloudy
2011-02-23,Wednesday,149,-0.4,clear
2011-02-24,Thursday,160,-2.7,clear
2011-02-25,Friday,153,-1,clear
2011-02-26,Saturday,148,2.1,clear
2011-02-27,Sunday,50,0.3,cloudy
2011-02-28,Monday,161,-0.3,cloudy
2011-03-01,Tuesday,45,-0.4,cloudy
2011-03-02,Wednesday,150,-1.5,clear
2011-03-03,Thursday,144,1,cloudy
2011-03-04,Friday,6,-0.6,cloudy
2011-03-05,Saturday,97,-0.6,cloudy
2011-03-06,Sunday,117,-0.5,cloudy
2011-03-07,Monday,180,1.8,cloudy
2011-03-08,Tuesday,239,-0.5,clear
2011-03-09,Wednesday,139,-0.4,clear
2011-03-10,Thursday,145,1,clear
2011-03-11,Friday,210,-0.9,clear
2011-03-12,Saturday,166,0.8,clear
2011-03-13,Sunday,176,-0.3,clear
2011-03-14,Monday,165,-0.1,clear
2011-03-15,Tuesday,73,1.6,cloudy
2011-03-16,Wednesday,120,0.9,cloudy
2011-03-17,Thursday,137,-1.1,cloudy
2011-03-18,Friday,181,1.4,clear
2011-03-19,Saturday,188,-0.4,cloudy
2011-03-20,Sunday,128,-0.3,cloudy
2011-03-21,Monday,187,0,clear
2011-03-22,Tuesday,187,1.5,clear
2011-03-23,Wednesday,159,-1,clear
2011-03-24,Thursday,126,-2.3,cloudy
2011-03-25,Friday,137,-0.4,cloudy
2011-03-26,Saturday,162,-0.7,clear
2011-03-27,Sunday,147,0.3,clear
2011-03-28,Monday,105,-0.6,cloudy
2011-03-29,Tuesday,132,-1.3,cloudy
2011-03-30,Wednesday,132,0.7,cloudy
2011-03-31,Thursday,183,0.1,clear
2011-04-01,Friday,66,0,cloudy
2011-04-02,Saturday,150,0.5,clear
2011-04-03,Sunday,163,0.1,clear
2011-04-04,Monday,145,1.3,clear
2011-04-05,Tuesday,149,-0.8,clear
2011-04-06,Wednesday,153,1.1,clear
2011-04-07,Thursday,42,0.2,cloudy
2011-04-08,Friday,59,0.4,cloudy
2011-04-09,Saturday,168,0.4,clear
2011-04-10,Sunday,148,2.4,clear
2011-04-11,Monday,155,-0.5,clear
2011-04-12,Tuesday,1,0.6,cloudy
2011-04-13,Wednesday,177,-1.4,clear
2011-04-14,Thursday,146,0.7,clear
2011-04-15,Friday,34,0.8,cloudy
2011-04-16,Saturday,144,0.9,clear
2011-04-17,Sunday,162,-0.8,clear
2011-04-18,Monday,146,-0.5,clear
2011-04-19,Tuesday,16,-0.1,cloudy
2011-04-20,Wednesday,103,-0.9,cloudy
2011-04-21,Thursday,33,0.6,cloudy
2011-04-22,Friday,38,-1.1,cloudy
2011-04-23,Saturday,175,0.1,clear
2011-04-24,Sunday,149,-1.6,clear
2011-04-25,Monday,2,0.2,cloudy
2011-04-26,Tuesday,45,-0.5,cloudy
2011-04-27,Wednesday,158,0.4,clear
2011-04-28,Thursday,136,-0.9,clear
2011-04-29,Friday,40,1.7,cloudy
2011-04-30,Saturday,141,1.1,cloudy
2011-05-01,Sunday,147,0.4,clear
2011-05-02,Monday,63,1.6,cloudy
2011-05-03,Tuesday,169,1.1,clear
2011-05-04,Wednesday,156,0.6,clear
2011-05-05,Thursday,103,-1.2,cloudy
2011-05-06,Friday,158,0.7,clear
2011-05-07,Saturday,168,0.6,clear
2011-05-08,Sunday,151,1.5,clear
2011-05-09,Monday,149,0.3,cloudy
2011-05-10,Tuesday,149,0.1,clear
2011-05-11,Wednesday,166,0.1,clear
2011-05-12,Thursday,158,-1.7,clear
2011-05-13,Friday,159,0.6,clear
2011-05-14,Saturday,158,0.3,clear
2011-05-15,Sunday,156,0.9,clear
2011-05-16,Monday,30,-0.4,cloudy
2011-05-17,Tuesday,69,-1.9,cloudy
2011-05-18,Wednesday,142,-0.8,clear
2011-05-19,Thursday,168,2.3,clear
2011-05-20,Friday,160,-2.1,clear
2011-05-21,Saturday,100,-1,cloudy
2011-05-22,Sunday,91,0.3,cloudy
2011-05-23,Monday,171,-0.4,clear
2011-05-24,Tuesday,147,-0.3,clear
2011-05-25,Wednesday,53,1,cloudy
2011-05-26,Thursday,36,-0.2,cloudy
2011-05-27,Friday,159,0.2,cloudy
2011-05-28,Saturday,160,0,clear
2011-05-29,Sunday,171,-0.2,clear
2011-05-30,Monday,15,-1.1,cloudy
2011-05-31,Tuesday,157,0.9,clear
2011-06-01,Wednesday,161,-0.3,clear
2011-06-02,Thursday,141,-0.8,cloudy
2011-06-03,Friday,46,-1.3,cloudy
2011-06-04,Saturday,182,0.7,clear
2011-06-05,Sunday,134,-1.6,cloudy
2011-06-06,Monday,152,-0.2,clear
2011-06-07,Tuesday,171,0.9,clear
2011-06-08,Wednesday,177,-0.5,clear
2011-06-09,Thursday,158,1,clear
2011-06-10,Friday,80,-0.9,cloudy
2011-06-11,Saturday,71,0.7,cloudy
2011-06-12,Sunday,170,-1.6,clear
2011-06-13,Monday,158,-0.4,clear
2011-06-14,Tuesday,143,0.3,cloudy
2011-06-15,Wednesday,86,0.7,cloudy
2011-06-16,Thursday,85,0.8,cloudy
2011-06-17,Friday,186,0.3,clear
2011-06-18,Saturday,2,-1.2,cloudy
2011-06-19,Sunday,116,0.2,cloudy
2011-06-20,Monday,176,-0.7,clear
2011-06-21,Tuesday,53,0,cloudy
2011-06-22,Wednesday,103,0.1,cloudy
2011-06-23,Thursday,157,1.3,clear
2011-06-24,Friday,160,0.6,clear
2011-06-25,Saturday,146,1.5,cloudy
2011-06-26,Sunday,166,-0.8,clear
2011-06-27,Monday,163,2.1,clear
2011-06-28,Tuesday,150,-1.4,clear
2011-06-29,Wednesday,171,2.2,clear
2011-06-30,Thursday,7,-0.5,cloudy
2011-07-01,Friday,163,-2.1,clear
2011-07-02,Saturday,50,0.7,cloudy
2011-07-03,Sunday,87,-0.1,cloudy
2011-07-04,Monday,140,-1.3,clear
2011-07-05,Tuesday,149,-0.5,clear
2011-07-06,Wednesday,81,-0.7,cloudy
2011-07-07,Thursday,187,0.6,clear
2011-07-08,Friday,147,0.7,clear
2011-07-09,Saturday,99,0.4,cloudy
2011-07-10,Sunday,71,0,cloudy
2011-07-11,Monday,29,2.3,cloudy
2011-07-12,Tuesday,140,-2.5,cloudy
2011-07-13,Wednesday,164,-0.3,clear
2011-07-14,Thursday,22,-0.7,cloudy
2011-07-15,Friday,181,0.3,clear
2011-07-16,Saturday,119,2.3,cloudy
2011-07-17,Sunday,139,1.5,cloudy
2011-07-18,Monday,39,1.2,cloudy
2011-07-19,Tuesday,147,-1.9,clear
2011-07-20,Wednesday,52,0.9,cloudy
2011-07-21,Thursday,145,-0.6,clear
2011-07-22,Friday,164,-0.3,clear
2011-07-23,Saturday,167,2.5,clear
2011-07-24,Sunday,42,0.1,cloudy
2011-07-25,Monday,150,-1.1,clear
2011-07-26,Tuesday,148,0.6,clear
2011-07-27,Wednesday,204,-2.3,clear
2011-07-28,Thursday,86,-0.2,cloudy
2011-07-29,Friday,166,0.9,clear
2011-07-30,Saturday,31,0.4,cloudy
2011-07-31,Sunday,100,1,cloudy
2011-08-01,Monday,151,0,clear
2011-08-02,Tuesday,149,-0.6,clear
2011-08-03,Wednesday,51,1.5,cloudy
2011-08-04,Thursday,69,-1.4,cloudy
2011-08-05,Friday,171,0.2,clear
2011-08-06,Saturday,168,0.8,clear
2011-08-07,Sunday,136,0.3,cloudy
2011-08-08,Monday,67,-1.1,cloudy
2011-08-09,Tuesday,50,-0.9,cloudy
2011-08-10,Wednesday,175,-0.7,clear
2011-08-11,Thursday,150,0.1,cloudy
2011-08-12,Friday,36,0.1,cloudy
2011-08-13,Saturday,178,-0.3,clear
2011-08-14,Sunday,175,-1.4,clear
2011-08-15,Monday,165,0.4,clear
2011-08-16,Tuesday,34,1.9,cloudy
2011-08-17,Wednesday,174,-1.5,clear
2011-08-18,Thursday,3,-0.2,cloudy
2011-08-19,Friday,162,0.6,clear
2011-08-20,Saturday,85,0,cloudy
2011-08-21,Sunday,45,-1,cloudy
2011-08-22,Monday,164,1.3,clear
2011-08-23,Tuesday,161,0.3,clear
2011-08-24,Wednesday,146,0.9,clear
2011-08-25,Thursday,161,-0.9,clear
2011-08-26,Friday,182,0.4,clear
2011-08-27,Saturday,32,-2.4,cloudy
2011-08-28,Sunday,157,-0.5,clear
2011-08-29,Monday,107,-1.1,cloudy
2011-08-30,Tuesday,197,0,clear
2011-08-31,Wednesday,52,0.4,cloudy
2011-09-01,Thursday,157,-1,clear
2011-09-02,Friday,172,0.3,clear
2011-09-03,Saturday,185,1.1,clear
2011-09-04,Sunday,40,0.3,cloudy
2011-09-05,Monday,88,-2.3,cloudy
2011-09-06,Tuesday,165,0.4,clear
2011-09-07,Wednesday,148,0.3,clear
2011-09-08,Thursday,192,-0.6,clear
2011-09-09,Friday,183,0.4,clear
2011-09-10,Saturday,169,1.1,clear
2011-09-11,Sunday,38,0.1,cloudy
2011-09-12,Monday,165,-0.5,clear
2011-09-13,Tuesday,161,0.9,clear
2011-09-14,Wednesday,149,0.3,cloudy
2011-09-15,Thursday,68,-0.4,cloudy
2011-09-16,Friday,171,0.6,clear
2011-09-17,Saturday,190,-1.5,clear
2011-09-18,Sunday,105,-0.1,cloudy
2011-09-19,Monday,152,-2,cloudy
2011-09-20,Tuesday,114,-0.3,cloudy
2011-09-21,Wednesday,18,-0.7,cloudy
2011-09-22,Thursday,174,-0.1,clear
2011-09-23,Friday,37,2.1,cloudy
2011-09-24,Saturday,38,0.3,cloudy
